month,anxiety_pct,anxiety_ci_low,anxiety_ci_high,depression_pct,depr_ci_low,depr_ci_high,either_pct,either_ci_low,either_ci_high
Full year 2019,8.1,7.7,8.5,6.5,6.2,6.9,10.8,10.4,11.3
January,8.2,6.9,9.6,6.5,5.5,7.8,10.8,9.4,12.4
February,8.2,6.9,9.6,5.9,4.8,7.1,10.5,9.0,12.2
March,8.6,7.3,10.1,7.5,6.3,8.8,11.7,10.2,13.3
April,8.3,6.9,9.9,6.7,5.6,7.9,11.0,9.5,12.6
May,8.1,6.8,9.5,6.8,5.6,8.1,11.0,9.5,12.6
June,7.8,6.6,9.2,6.0,5.1,7.2,10.9,9.4,12.4
July,7.5,6.4,8.8,5.9,5.0,7.0,9.5,8.3,10.9
August,8.1,6.7,9.6,7.0,5.7,8.5,11.0,9.4,12.8
September,7.4,6.3,8.7,6.4,5.3,7.7,9.9,8.6,11.4
October,7.8,6.7,9.1,6.8,5.7,8.1,10.8,9.4,12.2
November,8.3,7.0,9.9,6.3,5.0,7.8,11.7,10.0,13.6
December,8.6,7.2,10.2,6.7,5.3,8.2,11.3,9.7,13.1
